Curso,Professor,Projeto,Resumo
Ciência da Computação (Bacharelado),ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Ciência da Computação (Bacharelado),ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados","O objetivo deste trabalho é desenvolver, aperfeiçoar e utilizar metodologias e ferramentas para a simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos integrados, possibilitando a construção de modelos estatísticos que possam estimar a degradação do desempenho destes em função de efeitos de auto aquecimento (self-heating) e atividade de armadilhas (ruído e envelhecimento). "
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,"O objetivo é estabelecer uma área para testes e validação de tecnologias da agricultura 4.0, tendo como estudo de caso o aprimoramento e avaliação de um sistema integrado de sensores para coleta de dados e tomada de decisão para manejo integrado de pragas de uma startup de base tecnológica. A longo prazo, o objetivo é tornar a área experimental um catalisador para o desenvolvimento social e tecnológico deste segmento da agricultura na região Sul do RS, influenciando na tendência da adoção de novas tecnologias no campo para aumento de produtividade e de forma sustentável, a partir de um ferramental tecnológico que possa ser replicado para outras culturas e regiões agrícolas.

Objetivos Específicos:
1. Estruturar uma área de testes em campo (Fazenda da Palma da UFPel) para desenvolver, testar e validar soluções digitais aplicadas a cultivos agrícolas;
2. Validar um conjunto de tecnologias da Partamon para monitoramento de pragas, compreendendo os protótipos das armadilhas e estações meteorológicas para microclimas, já desenvolvidos, e o modelo preditivo de infestação de pragas em um ambiente natural. Uma vez validada a solução, será possível escalar a sua produção e melhorar/desenvolver sua produção de maneira assertiva e com dados de resultados comprovados.
3. Caracterizar o canal de propagação da última milha em que o sistema está inserido.
4. Desenvolver modelos preditivos para propagação de sinais baseados em dados topográficos de terrenos e imagens capturadas por drones e/ou satélites.
5. Estudar a topologia de rede mais adequada ao sistema de comunicação de Redes de Sensores Sem Fio (RSSF) que será implantada para a validação das tecnologias.
6. Aprimorar as tecnologias empregadas nos dispositivos sensores (armadilha e estações para monitorar variáveis climáticas) com o intuito de melhorar a eficiência energética e garantir conectividade em uma rede de dados de baixo custo.
7. Avaliar técnicas de visão computacional para identificação de plantas com sintomas de doenças e ataque de insetos via imagens aéreas capturadas por VANTs (drones).

"
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,"O objetivo principal do projeto é o desenvolvimento de plataformas flutuantes, fixas e/ou móveis, que permitam a coleta e transmissão de dados ambientais de diversos ambientes aquáticos. Estas plataformas poderão ser utilizadas para diferentes tipos de avaliações ambientais, desde o monitoramento contínuo em um só local, até aquisições instantâneas em diferentes locais, com controle remoto ou autônomo. Em paralelo com a elaboração dos sistemas flutuantes, diferentes tipos de sensores de baixo custo para o ambiente aquático serão desenvolvidos, dando sequência aos trabalhos anteriores do grupo, como condutivímetro, turbidímetro, etc."
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,"1	Desenvolver e experimentar um sistema de monitoramento de pragas baseado em armadilhas inteligentes capazes de:

1.1	Atuar de forma autônoma, reduzindo significativamente a necessidade de intervenção humana;

1.2	Aumentar a resolução temporal de dados de monitoramento, permitindo o levantamento sincronizado de informações; e

1.3	Tornar disponível em tempo real tais informações para os tomadores de decisão.

2	Desenvolver e experimentar um sistema de aplicação aérea de agentes de controle biológicos baseado em veículos aéreos não tripulados capaz de atuar de forma autônoma, cobrindo a área de interesse de forma mais eficiente possível.
"
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Ciência da Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Este projeto tem por objetivo promover um ambiente no qual os alunos dos cursos de Ciência da Computação e Engenharias empreguem os conhecimentos adquiridos nos cursos e desenvolvam novos conhecimentos visando a construção e manipulação de robôs
Ciência da Computação (Bacharelado),ALESSANDER OSORIO,"Projeto integrado de pesquisa, ensino e extensão para a formação de gestores e profissionais da APS e a qualificação do cuidado de pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade na região sul do Rio Grande do Sul","Objetivo geral
Realizar Projeto Integrado de Pesquisa, Ensino e Extensão dirigido a alunos, gestores e profissionais da Atenção Primária à Saúde para qualificar a organização dos serviços e o cuidado às pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade e fatores de risco associados na região Sul do Rio Grande do Sul.

Objetivos específicos
1) Desenvolver análise situacional da organização do cuidado às pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade e das necessidades de formação de alunos, profissionais de nível superior e gestores da APS, com ênfase na caracterização do processo de trabalho das equipes para atenção aos grupos de interesse.
2) Ofertar formação em serviço na modalidade semipresencial para alunos, profissionais de saúde de nível superior e gestores da APS, com vistas a minimizar os problemas identificados na análise situacional e implantar mudanças no processo de trabalho para qualificar o cuidado e o monitoramento de pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade.
 3) Realizar análise avaliativa sobre os efeitos da formação na reorganização do processo de trabalho das equipes, em parceria com as secretarias estaduais e municipais de saúde.
 4) Promover a difusão e a tradução do conhecimento produzido ao longo do projeto mediante sua disponibilização em acesso aberto na Plataforma Educacional Kurt Kloetzel - https://dms.ufpel.edu.br/p2k/ - e em eventos para fortalecer seu uso por estudantes, gestores, profissionais da APS, conselheiros de saúde e lideranças comunitárias.
"
